"UT","DT","TC","PY","Department"
"HUI2016","ARTICLE",0,2016,"Biomedical Engineering"
"ALIABADI20164116","ARTICLE",2,2016,"Biomedical Engineering"
"BAHNIUK2016297","ARTICLE",0,2016,"Biomedical Engineering"
"PARMAR20163031","ARTICLE",2,2016,"Biomedical Engineering"
"SWAMI2016602","ARTICLE",0,2016,"Biomedical Engineering"
"MACLEAN20161012","ARTICLE",2,2016,"Biomedical Engineering"
"NGUYEN20162874","ARTICLE",0,2016,"Biomedical Engineering"
"CHEN20163265","ARTICLE",2,2016,"Biomedical Engineering"
"THOMPSON2016S388","ARTICLE",0,2016,"Biomedical Engineering"
"THOMPSON2016","ARTICLE",0,2016,"Biomedical Engineering"
"HOLINSKI2016","ARTICLE",5,2016,"Biomedical Engineering"
"ULUDA20161412","ARTICLE",2,2016,"Biomedical Engineering"
"ELLIOTT201662","ARTICLE",0,2016,"Biomedical Engineering"
"SUN2016781","ARTICLE",4,2016,"Biomedical Engineering"
"TRAVIS201634","ARTICLE",2,2016,"Biomedical Engineering"
"AGHAMOHAMMADI-SERESHKI2016","ARTICLE",0,2016,"Biomedical Engineering"
"UDDIN20161133","ARTICLE",4,2016,"Biomedical Engineering"
"MAZUREK2016902","ARTICLE",3,2016,"Biomedical Engineering"
"BERNIER20164","ARTICLE",1,2016,"Biomedical Engineering"
"MABEE20161023","ARTICLE",4,2016,"Biomedical Engineering"
"CHENJI2016","ARTICLE",1,2016,"Biomedical Engineering"
"PAGANO2016","ARTICLE",1,2016,"Biomedical Engineering"
"KANEKO20161086","ARTICLE",4,2016,"Biomedical Engineering"
"HRYBOUSKI201698","ARTICLE",8,2016,"Biomedical Engineering"
"CONDLIFFE20162691","ARTICLE",4,2016,"Biomedical Engineering"
"ELKADY2016574","ARTICLE",1,2016,"Biomedical Engineering"
"VAFAEIAN201617","ARTICLE",3,2016,"Biomedical Engineering"
"VALENCIA-SERNA20161123","ARTICLE",1,2016,"Biomedical Engineering"
"MEWHORT2016661","ARTICLE",2,2016,"Biomedical Engineering"
"MAANI2016","ARTICLE",1,2016,"Biomedical Engineering"
"THAPA2016213","ARTICLE",0,2016,"Biomedical Engineering"
"BARON20161166","ARTICLE",1,2016,"Biomedical Engineering"
"HE2016162","ARTICLE",0,2016,"Biomedical Engineering"
"DAHHAS2016808","ARTICLE",0,2016,"Biomedical Engineering"
"SONG20162582","ARTICLE",1,2016,"Biomedical Engineering"
"WHITE2016773","ARTICLE",7,2016,"Biomedical Engineering"
"WHITE2016783","ARTICLE",7,2016,"Biomedical Engineering"
"LANDRY20168","ARTICLE",10,2016,"Biomedical Engineering"
"CHEN2016","ARTICLE",4,2016,"Biomedical Engineering"
"WIELER201687","ARTICLE",2,2016,"Biomedical Engineering"
"STOBBE2016119","ARTICLE",1,2016,"Biomedical Engineering"
"ZAINI2016","ARTICLE",1,2016,"Biomedical Engineering"
"KORDZADEH201619","ARTICLE",0,2016,"Biomedical Engineering"
"TREIT2016","ARTICLE",5,2016,"Biomedical Engineering"
"MALIK2016","ARTICLE",1,2016,"Biomedical Engineering"
"PARMAR201623","ARTICLE",0,2016,"Biomedical Engineering"
"MLLER2016","ARTICLE",0,2016,"Biomedical Engineering"
"KHAN2016","ARTICLE",0,2016,"Biomedical Engineering"
"UDDIN201651","ARTICLE",5,2016,"Biomedical Engineering"
"UTSUNO20161484","ARTICLE",0,2016,"Biomedical Engineering"
"ELAHY20161","ARTICLE",1,2016,"Biomedical Engineering"
"SAVCHENKO2015","CONFERENCE",0,2015,"Biomedical Engineering"
"COBZAS20151601","ARTICLE",7,2015,"Biomedical Engineering"
"MATHEWSON20151640","ARTICLE",1,2015,"Biomedical Engineering"
"YASUDA20151992","ARTICLE",6,2015,"Biomedical Engineering"
"MALYKHIN2015200","ARTICLE",42,2015,"Biomedical Engineering"
"VO20151540","CONFERENCE",1,2015,"Biomedical Engineering"
"ZHENG20152955","ARTICLE",1,2015,"Biomedical Engineering"
"PANAHIFAR20151655","ARTICLE",4,2015,"Biomedical Engineering"
"ELGENDI2015631","ARTICLE",1,2015,"Biomedical Engineering"
"YANG20154108","ARTICLE",3,2015,"Biomedical Engineering"
"CHOW2015","ARTICLE",4,2015,"Biomedical Engineering"
"MCPHEE2015642","ARTICLE",5,2015,"Biomedical Engineering"
"HAZIM2015108","ARTICLE",0,2015,"Biomedical Engineering"
"KATE20152318","ARTICLE",3,2015,"Biomedical Engineering"
"BARON20152136","ARTICLE",6,2015,"Biomedical Engineering"
"MONTAZERIALIABADI20153813","ARTICLE",3,2015,"Biomedical Engineering"
"BAHADUR20153972","ARTICLE",4,2015,"Biomedical Engineering"
"LANDRY2015","ARTICLE",13,2015,"Biomedical Engineering"
"YUSHKEVICH2015526","ARTICLE",48,2015,"Biomedical Engineering"
"MENEKSEDAG-EROL20155475","ARTICLE",5,2015,"Biomedical Engineering"
"KAWCHUK2015","ARTICLE",7,2015,"Biomedical Engineering"
"SWAMI20151206","ARTICLE",0,2015,"Biomedical Engineering"
"DOROBANTU2015","ARTICLE",10,2015,"Biomedical Engineering"
"PUTKO2015179","ARTICLE",11,2015,"Biomedical Engineering"
"BROWN20151","ARTICLE",13,2015,"Biomedical Engineering"
"VO2015","ARTICLE",3,2015,"Biomedical Engineering"
"THIESSON20151","ARTICLE",3,2015,"Biomedical Engineering"
"RAO20151","ARTICLE",1,2015,"Biomedical Engineering"
"TRAVIS2015159","ARTICLE",13,2015,"Biomedical Engineering"
"NGUYEN2015239","ARTICLE",4,2015,"Biomedical Engineering"
"SUN2015486","ARTICLE",21,2015,"Biomedical Engineering"
"WU2015","ARTICLE",1,2015,"Biomedical Engineering"
"DOROBANTU201514294","ARTICLE",2,2015,"Biomedical Engineering"
"TSANG2015497","ARTICLE",5,2015,"Biomedical Engineering"
"WIELER2015179","ARTICLE",12,2015,"Biomedical Engineering"
"SUN20151932","ARTICLE",14,2015,"Biomedical Engineering"
"MLLER201555","BOOK",0,2015,"Biomedical Engineering"
"BARON20151075","ARTICLE",4,2015,"Biomedical Engineering"
"CHEN2015159","CONFERENCE",1,2015,"Biomedical Engineering"
"MABEE2015267","ARTICLE",4,2015,"Biomedical Engineering"
"CHENG-BARON2015586","ARTICLE",3,2015,"Biomedical Engineering"
"CHENG201556","ARTICLE",5,2015,"Biomedical Engineering"
"ZEWDIE2015","ARTICLE",4,2015,"Biomedical Engineering"
"BUTLER2015643","ARTICLE",11,2015,"Biomedical Engineering"
"VO2015163","CONFERENCE",0,2015,"Biomedical Engineering"
"NIKOUEI201581","ARTICLE",10,2015,"Biomedical Engineering"
"PUTKO20151129","ARTICLE",3,2015,"Biomedical Engineering"
"CAMPOS2015125","ARTICLE",11,2015,"Biomedical Engineering"
"ZHOU2015138","ARTICLE",17,2015,"Biomedical Engineering"
"LAINE20151746","ARTICLE",1,2015,"Biomedical Engineering"
"ZHENG2015151","ARTICLE",8,2015,"Biomedical Engineering"
"TOPFER2015851","ARTICLE",13,2015,"Biomedical Engineering"
"HOLLANDER2015291","ARTICLE",9,2015,"Biomedical Engineering"
"BOCCARDI2015184","ARTICLE",20,2015,"Biomedical Engineering"
"BOCCHETTA2015151","ARTICLE",18,2015,"Biomedical Engineering"
"APOSTOLOVA2015139","ARTICLE",22,2015,"Biomedical Engineering"
"BOCCARDI2015126","ARTICLE",37,2015,"Biomedical Engineering"
"FRISONI2015111","ARTICLE",47,2015,"Biomedical Engineering"
"ELGENDI2014685","ARTICLE",3,2014,"Biomedical Engineering"
"EL-BIALY2014823","BOOK",0,2014,"Biomedical Engineering"
"DAI2014","ARTICLE",5,2014,"Biomedical Engineering"
"TRAN20142715","ARTICLE",13,2014,"Biomedical Engineering"
"MAANI20144625","ARTICLE",9,2014,"Biomedical Engineering"
"TREIT201487","ARTICLE",15,2014,"Biomedical Engineering"
"KELLMAN2014","ARTICLE",14,2014,"Biomedical Engineering"
"BARON2014726","ARTICLE",19,2014,"Biomedical Engineering"
"KUTTY2014765","ARTICLE",8,2014,"Biomedical Engineering"
"TEWARIE2014296","ARTICLE",36,2014,"Biomedical Engineering"
"EZEKOWITZ2014","ARTICLE",6,2014,"Biomedical Engineering"
"ZEWDIE20142544","ARTICLE",1,2014,"Biomedical Engineering"
"D'AMICO2014","ARTICLE",19,2014,"Biomedical Engineering"
