"UT","DT","TC","PY","Department"
"ANDREWS2013","CONFERENCE",0,2013,"Biomedical Engineering Grad Program"
"DAI2013174","CONFERENCE",0,2013,"Biomedical Engineering Grad Program"
"SATRIANO2013","CONFERENCE",0,2013,"Biomedical Engineering Grad Program"
"BARTON20131549","ARTICLE",10,2013,"Biomedical Engineering Grad Program"
"SAEVARSSON20131543","ARTICLE",3,2013,"Biomedical Engineering Grad Program"
"ATAROD20132264","ARTICLE",4,2013,"Biomedical Engineering Grad Program"
"LEWINSON2013392","ARTICLE",4,2013,"Biomedical Engineering Grad Program"
"LARA2013335","ARTICLE",2,2013,"Biomedical Engineering Grad Program"
"ANDREWS2013","ARTICLE",13,2013,"Biomedical Engineering Grad Program"
"LEWINSON2013811","ARTICLE",4,2013,"Biomedical Engineering Grad Program"
"TAHA2013231","ARTICLE",4,2013,"Biomedical Engineering Grad Program"
"LEWINSON2013208","ARTICLE",14,2013,"Biomedical Engineering Grad Program"
"SAEVARSSON20131169","ARTICLE",5,2013,"Biomedical Engineering Grad Program"
"KUHLMANN2013470","ARTICLE",12,2013,"Biomedical Engineering Grad Program"
"SATRIANO2013","ARTICLE",4,2013,"Biomedical Engineering Grad Program"
"MADDEN2013554","ARTICLE",11,2013,"Biomedical Engineering Grad Program"
"AMIRI2013248","ARTICLE",4,2013,"Biomedical Engineering Grad Program"
"DAI2013150","CONFERENCE",0,2013,"Biomedical Engineering Grad Program"
"ESHRAGHI201355","ARTICLE",14,2013,"Biomedical Engineering Grad Program"
"ABUBACKER2013186","ARTICLE",3,2013,"Biomedical Engineering Grad Program"
"BELLINI2012977","CONFERENCE",0,2012,"Biomedical Engineering Grad Program"
"GAXIOLA-VALDEZ20121394","ARTICLE",3,2012,"Biomedical Engineering Grad Program"
"GHOLIZADEH20121321","ARTICLE",15,2012,"Biomedical Engineering Grad Program"
"SATRIANO2012987","CONFERENCE",0,2012,"Biomedical Engineering Grad Program"
"HAN20122450","ARTICLE",7,2012,"Biomedical Engineering Grad Program"
