"UT","DT","TC","PY","Department"
"ALBA2014","ARTICLE",6,2014,"Chemical Engineering"
"BOUGIE201484","ARTICLE",10,2014,"Chemical Engineering"
"ILIUTA201449","ARTICLE",2,2014,"Chemical Engineering"
"HAJIANI201431","ARTICLE",6,2014,"Chemical Engineering"
"PATEL2014366","ARTICLE",6,2014,"Chemical Engineering"
"AFSAHI201412270","ARTICLE",24,2014,"Chemical Engineering"
"MIKHAILENKO2014457","ARTICLE",1,2014,"Chemical Engineering"
"PILLAI2014121","ARTICLE",12,2014,"Chemical Engineering"
"DINH20144819","ARTICLE",14,2014,"Chemical Engineering"
"SAFIZADEH2014215","ARTICLE",4,2014,"Chemical Engineering"
"MIKHAILENKO20149165","ARTICLE",5,2014,"Chemical Engineering"
"ROLLAND20146204","ARTICLE",2,2014,"Chemical Engineering"
"PHAM20145937","ARTICLE",23,2014,"Chemical Engineering"
"ZOHREVAND2014874","ARTICLE",13,2014,"Chemical Engineering"
"PATEL201436","ARTICLE",8,2014,"Chemical Engineering"
"SARVARAMINI20141983","ARTICLE",2,2014,"Chemical Engineering"
"ILIUTA201416","ARTICLE",29,2014,"Chemical Engineering"
"VU20143888","ARTICLE",15,2014,"Chemical Engineering"
"OLIVIER20141176","ARTICLE",4,2014,"Chemical Engineering"
"VINH-THANG2014271","ARTICLE",7,2014,"Chemical Engineering"
"BOUGIE2014355","ARTICLE",8,2014,"Chemical Engineering"
"ZOHREVAND2014235","ARTICLE",9,2014,"Chemical Engineering"
"FARIDKHOU201427","ARTICLE",6,2014,"Chemical Engineering"
"BOUGIE201416","ARTICLE",12,2014,"Chemical Engineering"
"CHRIF20141839","ARTICLE",1,2014,"Chemical Engineering"
"SARVARAMINI2014158","ARTICLE",23,2014,"Chemical Engineering"
"SAFIZADEH2014691","ARTICLE",2,2014,"Chemical Engineering"
"AZIZI20141687","ARTICLE",3,2014,"Chemical Engineering"
"MIGHRI2014265","CONFERENCE",0,2014,"Chemical Engineering"
"ZOHREVAND20142052","ARTICLE",4,2014,"Chemical Engineering"
"NGUYEN2014916","ARTICLE",10,2014,"Chemical Engineering"
"DATRINDADE2014648","ARTICLE",4,2014,"Chemical Engineering"
"PATEL20141791","ARTICLE",7,2014,"Chemical Engineering"
"PATEL20144051","ARTICLE",1,2014,"Chemical Engineering"
"TRAN2014796","ARTICLE",0,2014,"Chemical Engineering"
"VUONG20139694","ARTICLE",16,2013,"Chemical Engineering"
"ILIUTA201316142","ARTICLE",1,2013,"Chemical Engineering"
"DINH201313308","ARTICLE",20,2013,"Chemical Engineering"
"HE2013193","ARTICLE",11,2013,"Chemical Engineering"
"NGUYEN20139455","ARTICLE",51,2013,"Chemical Engineering"
"BOUTELDJA2013397","ARTICLE",14,2013,"Chemical Engineering"
"BOUGIE2013806","ARTICLE",13,2013,"Chemical Engineering"
"HASIB-UR-RAHMAN2013757","ARTICLE",9,2013,"Chemical Engineering"
"PATEL201394","ARTICLE",6,2013,"Chemical Engineering"
"CHEN2013","CONFERENCE",0,2013,"Chemical Engineering"
"HAJIANI201377","ARTICLE",12,2013,"Chemical Engineering"
"SARVARAMINI2013498","ARTICLE",28,2013,"Chemical Engineering"
"MOTTILLO20132121","ARTICLE",40,2013,"Chemical Engineering"
"VINH-THANG20134980","ARTICLE",119,2013,"Chemical Engineering"
"HANNA201378","ARTICLE",6,2013,"Chemical Engineering"
"LOPES20131370","ARTICLE",0,2013,"Chemical Engineering"
"ILIUTA20132105","ARTICLE",26,2013,"Chemical Engineering"
"SARSHAR20136946","ARTICLE",7,2013,"Chemical Engineering"
"FARIDKHOU2013425","ARTICLE",7,2013,"Chemical Engineering"
"HAJIANI2013454","ARTICLE",16,2013,"Chemical Engineering"
"AFSAHI2013415","ARTICLE",25,2013,"Chemical Engineering"
"HAJIANI2013257","ARTICLE",12,2013,"Chemical Engineering"
"PILLAI2013155","ARTICLE",12,2013,"Chemical Engineering"
"NGUYEN2013100","ARTICLE",11,2013,"Chemical Engineering"
"NGUYEN2013326","ARTICLE",16,2013,"Chemical Engineering"
"ILIUTA201361","ARTICLE",9,2013,"Chemical Engineering"
"HAMIDIPOUR2013158","ARTICLE",12,2013,"Chemical Engineering"
"ILIUTA20131698","ARTICLE",1,2013,"Chemical Engineering"
"METHENNI2013295","ARTICLE",1,2013,"Chemical Engineering"
"FANG2013942","ARTICLE",12,2013,"Chemical Engineering"
"VUONG2013550","ARTICLE",29,2013,"Chemical Engineering"
"ILIUTA2013370","ARTICLE",0,2013,"Chemical Engineering"
"MIGHRI2013209","CONFERENCE",0,2013,"Chemical Engineering"
"SARVARAMINI2013814","ARTICLE",12,2013,"Chemical Engineering"
"PILLAI201332","ARTICLE",11,2013,"Chemical Engineering"
"MALOUF2013191","BOOK",0,2013,"Chemical Engineering"
"WANG2013136","ARTICLE",25,2013,"Chemical Engineering"
"PERDIGOTO2013137","ARTICLE",4,2013,"Chemical Engineering"
"QAISS2013105","ARTICLE",10,2013,"Chemical Engineering"
"HO201334","ARTICLE",7,2013,"Chemical Engineering"
"FARIDKHOU201216495","ARTICLE",7,2012,"Chemical Engineering"
"MRABET201260","ARTICLE",25,2012,"Chemical Engineering"
"VINH-THANG2012129","BOOK",5,2012,"Chemical Engineering"
"SONG20122552","ARTICLE",12,2012,"Chemical Engineering"
"QAISS20122637","ARTICLE",13,2012,"Chemical Engineering"
"LOPES2012270","ARTICLE",3,2012,"Chemical Engineering"
"NGUYEN2012279","BOOK",0,2012,"Chemical Engineering"
"DINH2012327","BOOK",2,2012,"Chemical Engineering"
"SUN201217653","ARTICLE",118,2012,"Chemical Engineering"
"KHANWARDAG2012273","ARTICLE",2,2012,"Chemical Engineering"
"HASIB-UR-RAHMAN201211443","ARTICLE",32,2012,"Chemical Engineering"
"ILIUTA201213100","ARTICLE",0,2012,"Chemical Engineering"
"ILIUTA20123123","ARTICLE",5,2012,"Chemical Engineering"
"BANSAL2012822","ARTICLE",8,2012,"Chemical Engineering"
"LOPES20121610","ARTICLE",2,2012,"Chemical Engineering"
"KHANWARDAG201212107","ARTICLE",1,2012,"Chemical Engineering"
"NIK201248","ARTICLE",115,2012,"Chemical Engineering"
"HAJIANI2012492","ARTICLE",13,2012,"Chemical Engineering"
"SANTOS2012239","ARTICLE",42,2012,"Chemical Engineering"
"NIK20121313","ARTICLE",16,2012,"Chemical Engineering"
"HAMIDIPOUR2012167","ARTICLE",26,2012,"Chemical Engineering"
"GANDO-FERREIRA2012","ARTICLE",0,2012,"Chemical Engineering"
"RADFARNIA201210390","ARTICLE",45,2012,"Chemical Engineering"
"DUCHESNE2012116","ARTICLE",39,2012,"Chemical Engineering"
"HASIB-UR-RAHMAN20128711","ARTICLE",32,2012,"Chemical Engineering"
"VU20122815","ARTICLE",3,2012,"Chemical Engineering"
"DINH20126608","ARTICLE",21,2012,"Chemical Engineering"
"SARVARAMINI2012741","ARTICLE",19,2012,"Chemical Engineering"
"WARDAG20122045","ARTICLE",10,2012,"Chemical Engineering"
"GILBERT-TREMBLAY2012341","ARTICLE",8,2012,"Chemical Engineering"
"PHAM20123091","ARTICLE",37,2012,"Chemical Engineering"
"NOHAIR201210904","ARTICLE",9,2012,"Chemical Engineering"
"ILIUTA201264","ARTICLE",6,2012,"Chemical Engineering"
"SARSHAR20123091","ARTICLE",23,2012,"Chemical Engineering"
"LARACHI201299","ARTICLE",12,2012,"Chemical Engineering"
"ILIUTA2012299","ARTICLE",17,2012,"Chemical Engineering"
"LEYSI-DERILOU2012200","ARTICLE",10,2012,"Chemical Engineering"
"ILIUTA2012311","ARTICLE",8,2012,"Chemical Engineering"
"QAISS20123425","ARTICLE",9,2012,"Chemical Engineering"
"BOUGIE2012635","ARTICLE",44,2012,"Chemical Engineering"
"ILIUTA2012199","ARTICLE",15,2012,"Chemical Engineering"
"PATEL2012747","ARTICLE",9,2012,"Chemical Engineering"
"DINH20128","ARTICLE",9,2012,"Chemical Engineering"
"PHAM20121008","ARTICLE",41,2012,"Chemical Engineering"
"AZIZI201251","ARTICLE",9,2012,"Chemical Engineering"
"ABBASSI-SOURKI2012111","ARTICLE",6,2012,"Chemical Engineering"
"KHANWARDAG20121729","ARTICLE",0,2012,"Chemical Engineering"
"KHANWARDAG2012349","ARTICLE",6,2012,"Chemical Engineering"
"LARACHI201269","ARTICLE",21,2012,"Chemical Engineering"
"HASIB-UR-RAHMAN2012246","ARTICLE",50,2012,"Chemical Engineering"
"AZIZI201273","ARTICLE",8,2012,"Chemical Engineering"
"ARRAKHIZ2012379","ARTICLE",43,2012,"Chemical Engineering"
"ILIUTA201635","ARTICLE",2,2016,"Chemical Engineering"
"FARIDKHOU201680","ARTICLE",2,2016,"Chemical Engineering"
"DASHLIBORUN20164157","ARTICLE",3,2016,"Chemical Engineering"
"DURNMARTNEZ2016121","ARTICLE",0,2016,"Chemical Engineering"
"DON2016392","ARTICLE",0,2016,"Chemical Engineering"
"FEILIZADEH2016174","ARTICLE",5,2016,"Chemical Engineering"
"ATHMOUNI2016","ARTICLE",0,2016,"Chemical Engineering"
"BOROUN201691","ARTICLE",2,2016,"Chemical Engineering"
"ILIUTA201651","ARTICLE",2,2016,"Chemical Engineering"
"ILIUTA201697","BOOK",0,2016,"Chemical Engineering"
"QIN20161273","ARTICLE",1,2016,"Chemical Engineering"
"THANH-BINH20167","ARTICLE",1,2016,"Chemical Engineering"
"SUN2016667","ARTICLE",1,2016,"Chemical Engineering"
"HE201612541","ARTICLE",0,2016,"Chemical Engineering"
"HE2016168","ARTICLE",2,2016,"Chemical Engineering"
"ILIUTA2016916","ARTICLE",5,2016,"Chemical Engineering"
"KARIMIESTAHBANATI2016537","ARTICLE",8,2016,"Chemical Engineering"
"AFSAHI2016107","ARTICLE",2,2016,"Chemical Engineering"
"CHEN2016143","ARTICLE",1,2016,"Chemical Engineering"
"ENFERADIKERENKAN2016971","ARTICLE",6,2016,"Chemical Engineering"
"BOROUN2016198","ARTICLE",0,2016,"Chemical Engineering"
"NGUYEN20164413","ARTICLE",10,2016,"Chemical Engineering"
"KHABAZI201630","ARTICLE",5,2016,"Chemical Engineering"
"WONGKIA2015256","ARTICLE",5,2015,"Chemical Engineering"
"ILIUTA201512455","ARTICLE",1,2015,"Chemical Engineering"
"MOTAMEDDASHLIBORUN2015665","ARTICLE",9,2015,"Chemical Engineering"
"HRTING2015931","ARTICLE",5,2015,"Chemical Engineering"
"KRIEG20152894","ARTICLE",10,2015,"Chemical Engineering"
"ILIUTA20157787","ARTICLE",2,2015,"Chemical Engineering"
"VUONG201579","BOOK",0,2015,"Chemical Engineering"
"NGUYEN201518345","ARTICLE",32,2015,"Chemical Engineering"
"PANDARUS20152071","ARTICLE",4,2015,"Chemical Engineering"
"AZARI20151132","ARTICLE",2,2015,"Chemical Engineering"
"HRTING20152","ARTICLE",6,2015,"Chemical Engineering"
"TRAN2015215","ARTICLE",0,2015,"Chemical Engineering"
"HRTING2015147","ARTICLE",11,2015,"Chemical Engineering"
"SOLOMENKO2015698","ARTICLE",8,2015,"Chemical Engineering"
"EBRAHIMI201540","ARTICLE",7,2015,"Chemical Engineering"
"DUONGVU201579","ARTICLE",0,2015,"Chemical Engineering"
"PATEL20152733","ARTICLE",2,2015,"Chemical Engineering"
"BOUGIE2015255","ARTICLE",6,2015,"Chemical Engineering"
"HANNAOUI2015334","ARTICLE",2,2015,"Chemical Engineering"
