"UT","DT","TC","PY","Department"
"TAPIA2014","CONFERENCE",0,2014,"Biomedical Engineering Graduate Program"
"SOLTANZADEH20144228","CONFERENCE",1,2014,"Biomedical Engineering Graduate Program"
"BYAGOWI20147","ARTICLE",4,2014,"Biomedical Engineering Graduate Program"
"BLAKLEY201452","ARTICLE",2,2014,"Biomedical Engineering Graduate Program"
"NEPOTE2014516","CONFERENCE",1,2014,"Biomedical Engineering Graduate Program"
"CADONIC201452","ARTICLE",2,2014,"Biomedical Engineering Graduate Program"
"MORTAZA2014677","ARTICLE",16,2014,"Biomedical Engineering Graduate Program"
"NEPOTE201459","CONFERENCE",1,2014,"Biomedical Engineering Graduate Program"
"KIM20141229","ARTICLE",4,2014,"Biomedical Engineering Graduate Program"
"TAPIA20131103","CONFERENCE",2,2013,"Biomedical Engineering Graduate Program"
"CONCEICAO2013720","CONFERENCE",3,2013,"Biomedical Engineering Graduate Program"
"POUYA20131362","CONFERENCE",1,2013,"Biomedical Engineering Graduate Program"
"ZEN2013460","CONFERENCE",1,2013,"Biomedical Engineering Graduate Program"
"WHITE2013","ARTICLE",0,2013,"Biomedical Engineering Graduate Program"
"NEMEZ2013","ARTICLE",0,2013,"Biomedical Engineering Graduate Program"
"SHAMS2013","CONFERENCE",7,2013,"Biomedical Engineering Graduate Program"
"THIESSEN2013","CONFERENCE",8,2013,"Biomedical Engineering Graduate Program"
"SHATIL2016","ARTICLE",0,2016,"Biomedical Engineering Graduate Program"
"CADONIC20166078","ARTICLE",4,2016,"Biomedical Engineering Graduate Program"
"NOROUZI20161835","ARTICLE",7,2016,"Biomedical Engineering Graduate Program"
"POUYA2016","CONFERENCE",0,2016,"Biomedical Engineering Graduate Program"
"DASTGHEIB2016","CONFERENCE",0,2016,"Biomedical Engineering Graduate Program"
"THIESSEN20167934","ARTICLE",1,2016,"Biomedical Engineering Graduate Program"
"SHOKROLLAHI20163215","CONFERENCE",0,2016,"Biomedical Engineering Graduate Program"
"GOERTZEN20162424","ARTICLE",2,2016,"Biomedical Engineering Graduate Program"
"NASIRI201690","ARTICLE",1,2016,"Biomedical Engineering Graduate Program"
"FLORES-TAPIA20164674","ARTICLE",0,2016,"Biomedical Engineering Graduate Program"
"FIGLEY2016","ARTICLE",5,2016,"Biomedical Engineering Graduate Program"
"SAHA2016","ARTICLE",1,2016,"Biomedical Engineering Graduate Program"
"SHAMS2016","CONFERENCE",2,2016,"Biomedical Engineering Graduate Program"
"GHOREISHIAN2016252","ARTICLE",7,2016,"Biomedical Engineering Graduate Program"
"LUO2016423","ARTICLE",2,2016,"Biomedical Engineering Graduate Program"
"AZFARNIAM2016298","ARTICLE",6,2016,"Biomedical Engineering Graduate Program"
"WHITE2016129","ARTICLE",3,2016,"Biomedical Engineering Graduate Program"
"SOLTANZADEH20152231","CONFERENCE",0,2015,"Biomedical Engineering Graduate Program"
"WHITE20154619","CONFERENCE",3,2015,"Biomedical Engineering Graduate Program"
"POUYA20154692","CONFERENCE",0,2015,"Biomedical Engineering Graduate Program"
"MOUSSAVI20155956","CONFERENCE",1,2015,"Biomedical Engineering Graduate Program"
"SULEIMAN20153375","CONFERENCE",0,2015,"Biomedical Engineering Graduate Program"
"SAHA20152235","CONFERENCE",2,2015,"Biomedical Engineering Graduate Program"
"SOLTANZADEH20152530","ARTICLE",1,2015,"Biomedical Engineering Graduate Program"
"FATMEHSARI2015","ARTICLE",0,2015,"Biomedical Engineering Graduate Program"
"SOLTANZADEH2015","ARTICLE",0,2015,"Biomedical Engineering Graduate Program"
"RUTHERFORD201543","ARTICLE",5,2015,"Biomedical Engineering Graduate Program"
"LATIF2015","ARTICLE",0,2015,"Biomedical Engineering Graduate Program"
"NAFEZ201595","ARTICLE",7,2015,"Biomedical Engineering Graduate Program"
"SHARMA20141","ARTICLE",6,2014,"Biosystems Engineering"
"GUNGORMUSLER-YILMAZ20141","ARTICLE",8,2014,"Biosystems Engineering"
"JIAN2014328","ARTICLE",1,2014,"Biosystems Engineering"
"TEENA2014306","ARTICLE",15,2014,"Biosystems Engineering"
"SUN2014320","ARTICLE",4,2014,"Biosystems Engineering"
"ARLENE-CHRISTINA2014292","ARTICLE",2,2014,"Biosystems Engineering"
"MUNIR2014","ARTICLE",10,2014,"Biosystems Engineering"
"SCHELLENBERG2014","ARTICLE",9,2014,"Biosystems Engineering"
"YANG20141443","ARTICLE",18,2014,"Biosystems Engineering"
"GUPTA201420958","ARTICLE",12,2014,"Biosystems Engineering"
"GASCOYNE20141914","ARTICLE",1,2014,"Biosystems Engineering"
"CHELLADURAI201487","BOOK",0,2014,"Biosystems Engineering"
"VERBEKE20141602","ARTICLE",14,2014,"Biosystems Engineering"
"KARUNAKARAN201433","BOOK",2,2014,"Biosystems Engineering"
"AGBOR2014234","BOOK",4,2014,"Biosystems Engineering"
"SATCHITHANANTHAM2014101","ARTICLE",17,2014,"Biosystems Engineering"
"ACKERMAN2014650","CONFERENCE",0,2014,"Biosystems Engineering"
"THAKUR20143158","CONFERENCE",0,2014,"Biosystems Engineering"
"BARCHYN2014123","ARTICLE",9,2014,"Biosystems Engineering"
"NANDANWAR20144097","CONFERENCE",0,2014,"Biosystems Engineering"
"RAKHRA20142917","CONFERENCE",0,2014,"Biosystems Engineering"
"SADEK20143965","CONFERENCE",3,2014,"Biosystems Engineering"
"DICK201487","ARTICLE",0,2014,"Biosystems Engineering"
"DICK2014475","ARTICLE",0,2014,"Biosystems Engineering"
"YUE20142841","CONFERENCE",0,2014,"Biosystems Engineering"
"SHARMA20141636","CONFERENCE",0,2014,"Biosystems Engineering"
"BASHIRI20148","ARTICLE",8,2014,"Biosystems Engineering"
"WANG201413","ARTICLE",2,2014,"Biosystems Engineering"
"JORDAAN2014238","CONFERENCE",0,2014,"Biosystems Engineering"
"JORDAAN20142002","CONFERENCE",0,2014,"Biosystems Engineering"
"JOHNSON20143824","CONFERENCE",0,2014,"Biosystems Engineering"
"BHADRA20141337","ARTICLE",8,2014,"Biosystems Engineering"
"FU2014461","ARTICLE",9,2014,"Biosystems Engineering"
"SESTRIC201441","ARTICLE",27,2014,"Biosystems Engineering"
"CARERE20142829","ARTICLE",12,2014,"Biosystems Engineering"
"BESHADA20145.1","ARTICLE",0,2014,"Biosystems Engineering"
"AGBOR201462","ARTICLE",6,2014,"Biosystems Engineering"
"CORDEIRO201443","ARTICLE",3,2014,"Biosystems Engineering"
"MAHMOOD20142737","ARTICLE",5,2014,"Biosystems Engineering"
"SATCHITHANANTHAM2014815","ARTICLE",0,2014,"Biosystems Engineering"
"NING20141164","ARTICLE",5,2014,"Biosystems Engineering"
"LA20146.1","ARTICLE",0,2014,"Biosystems Engineering"
"ZHANG20141839","ARTICLE",0,2014,"Biosystems Engineering"
"ZHOU201456","ARTICLE",3,2014,"Biosystems Engineering"
"BLUNT2014203","ARTICLE",3,2014,"Biosystems Engineering"
"SINGH20143.25","ARTICLE",5,2014,"Biosystems Engineering"
"ASEFI20148","CONFERENCE",2,2014,"Biosystems Engineering"
"MANICKAVASAGAN20142251","ARTICLE",2,2014,"Biosystems Engineering"
"JIAN20141151","ARTICLE",2,2014,"Biosystems Engineering"
"HASIMU201448","ARTICLE",21,2014,"Biosystems Engineering"
"ACKERMAN2014443","CONFERENCE",0,2014,"Biosystems Engineering"
"HOSSAIN20143861","CONFERENCE",0,2014,"Biosystems Engineering"
"RYDZAK20146497","ARTICLE",13,2014,"Biosystems Engineering"
"JIAN2014101","ARTICLE",1,2014,"Biosystems Engineering"
"HAO2014494","ARTICLE",9,2014,"Biosystems Engineering"
"JIAN201460","ARTICLE",7,2014,"Biosystems Engineering"
"JIAN201467","ARTICLE",1,2014,"Biosystems Engineering"
"MAHESH201463","ARTICLE",1,2014,"Biosystems Engineering"
"JIAN201463","ARTICLE",6,2014,"Biosystems Engineering"
"SUN2014599","ARTICLE",0,2014,"Biosystems Engineering"
"CHELLADURAI201443","ARTICLE",16,2014,"Biosystems Engineering"
"SITEPU20141336","ARTICLE",79,2014,"Biosystems Engineering"
"SADEK2014126","ARTICLE",1,2014,"Biosystems Engineering"
"ZHOU2014593","ARTICLE",0,2014,"Biosystems Engineering"
"CHIDANANDA201442","ARTICLE",1,2014,"Biosystems Engineering"
"MAHESH201431","ARTICLE",13,2014,"Biosystems Engineering"
"WU2014521","ARTICLE",4,2014,"Biosystems Engineering"
"CHEN20131653","ARTICLE",4,2013,"Biosystems Engineering"
"BASHIRI20131795","CONFERENCE",1,2013,"Biosystems Engineering"
"WU20131115","ARTICLE",15,2013,"Biosystems Engineering"
"JEFFREY2013209","CONFERENCE",1,2013,"Biosystems Engineering"
"LEVIN2013207","ARTICLE",0,2013,"Biosystems Engineering"
"ALI2013106","CONFERENCE",0,2013,"Biosystems Engineering"
"HU201315673","ARTICLE",4,2013,"Biosystems Engineering"
"JIAN20132247","ARTICLE",2,2013,"Biosystems Engineering"
"ADELAKUN20131451","ARTICLE",3,2013,"Biosystems Engineering"
"HAO20132560","ARTICLE",12,2013,"Biosystems Engineering"
"MANICKAVASAGAN20131","ARTICLE",3,2013,"Biosystems Engineering"
"REY2013235","ARTICLE",4,2013,"Biosystems Engineering"
"PUROHIT2013547","ARTICLE",1,2013,"Biosystems Engineering"
"BAKER2013453","ARTICLE",0,2013,"Biosystems Engineering"
"JIAN20131077","ARTICLE",7,2013,"Biosystems Engineering"
"HAO2013703","ARTICLE",10,2013,"Biosystems Engineering"
"SUN201336","ARTICLE",1,2013,"Biosystems Engineering"
"BHADRA2013276","CONFERENCE",7,2013,"Biosystems Engineering"
"KHAN201379","ARTICLE",0,2013,"Biosystems Engineering"
"AI2013301","ARTICLE",0,2013,"Biosystems Engineering"
"HUANG2013869","ARTICLE",0,2013,"Biosystems Engineering"
"WUSHKE2013679","ARTICLE",3,2013,"Biosystems Engineering"
"HAO2013297","ARTICLE",7,2013,"Biosystems Engineering"
"WU20132484","ARTICLE",61,2013,"Biosystems Engineering"
"TEENA20131621","ARTICLE",24,2013,"Biosystems Engineering"
"JORDAAN20132195","ARTICLE",0,2013,"Biosystems Engineering"
"ACKERMAN2013419","ARTICLE",12,2013,"Biosystems Engineering"
"WU2013926","ARTICLE",5,2013,"Biosystems Engineering"
"LUBIENIECHI201325","ARTICLE",5,2013,"Biosystems Engineering"
"SRAVANTHI201348","ARTICLE",5,2013,"Biosystems Engineering"
"PUROHIT201319","ARTICLE",12,2013,"Biosystems Engineering"
"VERBEKE2013","ARTICLE",16,2013,"Biosystems Engineering"
"RAKHRA201351","ARTICLE",3,2013,"Biosystems Engineering"
"JOHNSON2013260","ARTICLE",7,2013,"Biosystems Engineering"
"EMADI2013519","ARTICLE",2,2013,"Biosystems Engineering"
"SADEK2013","ARTICLE",1,2013,"Biosystems Engineering"
"MEBATSION201399","ARTICLE",25,2013,"Biosystems Engineering"
"LAL2013","ARTICLE",5,2013,"Biosystems Engineering"
"LAL2013","ARTICLE",4,2013,"Biosystems Engineering"
"PARSONS2013165","ARTICLE",4,2013,"Biosystems Engineering"
"LIU2013278","ARTICLE",2,2013,"Biosystems Engineering"
"CHEN201334","ARTICLE",57,2013,"Biosystems Engineering"
"ISLAM2013213","ARTICLE",6,2013,"Biosystems Engineering"
"LEVIN2013256","ARTICLE",0,2013,"Biosystems Engineering"
