"UT","DT","TC","PY","Department"
"FRIEDMAN201357","ARTICLE",0,2013,"School of Architecture"
"GARCIA-HOLGUERA20143338","CONFERENCE",0,2014,"School of Architecture"
"DEBERARDINIS2014415","ARTICLE",17,2014,"School of Architecture"
"GARCIA-HOLGUERA2016263","ARTICLE",2,2016,"School of Architecture"
"DEBERARDINIS201682","ARTICLE",0,2016,"School of Architecture"
"PANDYA2013","ARTICLE",14,2013,"Bioengineering"
"KINSELLA2013","CONFERENCE",3,2013,"Bioengineering"
"NICOLAU2013","ARTICLE",2,2013,"Bioengineering"
"GUNDA2013711","ARTICLE",16,2013,"Bioengineering"
"NICOLAU2014","ARTICLE",1,2014,"Bioengineering"
"ROLLAND20141212","ARTICLE",283,2014,"Bioengineering"
"THON20141857","ARTICLE",58,2014,"Bioengineering"
"GUO2014822","ARTICLE",109,2014,"Bioengineering"
"MAHJOUBI20149975","ARTICLE",13,2014,"Bioengineering"
"ANASTASIADOU2014291","CONFERENCE",4,2014,"Bioengineering"
"ACHILLEOS20141095","ARTICLE",2,2014,"Bioengineering"
"MITSIS2014561","ARTICLE",0,2014,"Bioengineering"
"LOIZIDES20144543","CONFERENCE",0,2014,"Bioengineering"
"PANDYA20141896","ARTICLE",2,2014,"Bioengineering"
"HU20142490","ARTICLE",13,2014,"Bioengineering"
"KOSTOGLOU2014193","CONFERENCE",1,2014,"Bioengineering"
"KOSTOGLOU20146028","CONFERENCE",0,2014,"Bioengineering"
"CHRISTODOULAKIS20142805","CONFERENCE",1,2014,"Bioengineering"
"IAKOVIDOU2015","CONFERENCE",1,2015,"Bioengineering"
"LOIZIDES2015","ARTICLE",2,2015,"Bioengineering"
"NIKOLAOU20151809","CONFERENCE",1,2015,"Bioengineering"
"ANASTASIADOU20151946","CONFERENCE",1,2015,"Bioengineering"
"NORMANDIN201513002","ARTICLE",5,2015,"Bioengineering"
"ZHANG2015825","CONFERENCE",1,2015,"Bioengineering"
"VANZALINGE20158354","ARTICLE",1,2015,"Bioengineering"
