"UT","DT","TC","PY","Department"
"ELEFTHERIOU20134798","ARTICLE",16,2013,"School of Biomedical Engineering"
"LOVE20133599","ARTICLE",0,2013,"School of Biomedical Engineering"
"FULLERTON20131649","ARTICLE",165,2013,"School of Biomedical Engineering"
"NIE2013","ARTICLE",12,2013,"School of Biomedical Engineering"
"AMOOZGAR201315","ARTICLE",11,2013,"School of Biomedical Engineering"
"AMOOZGAR2013637","ARTICLE",4,2013,"School of Biomedical Engineering"
"ROS20132757","ARTICLE",10,2013,"School of Biomedical Engineering"
"WEEKS2013323","ARTICLE",7,2013,"School of Biomedical Engineering"
"GOLDBERG20133818","ARTICLE",22,2013,"School of Biomedical Engineering"
"ZHENG201368","ARTICLE",60,2013,"School of Biomedical Engineering"
"STOGIOS2013191","ARTICLE",16,2013,"School of Biomedical Engineering"
"WILLAND2013219","ARTICLE",10,2013,"School of Biomedical Engineering"
"MNSTER201312197","ARTICLE",69,2013,"School of Biomedical Engineering"
"WU20132641","ARTICLE",13,2013,"School of Biomedical Engineering"
"AN2013","ARTICLE",0,2013,"School of Biomedical Engineering"
"GABARDO20133030","ARTICLE",25,2013,"School of Biomedical Engineering"
"DOWNIE20133943","ARTICLE",20,2013,"School of Biomedical Engineering"
"ROCHOW2013377","ARTICLE",6,2013,"School of Biomedical Engineering"
"TANG20131396","ARTICLE",39,2013,"School of Biomedical Engineering"
"ZHAO20137","ARTICLE",31,2013,"School of Biomedical Engineering"
"YANG20132143","ARTICLE",10,2013,"School of Biomedical Engineering"
"WEEKS2013179","ARTICLE",12,2013,"School of Biomedical Engineering"
"LIU2013716","ARTICLE",12,2013,"School of Biomedical Engineering"
"WANG2013202","ARTICLE",12,2013,"School of Biomedical Engineering"
"SO2013121","ARTICLE",5,2013,"School of Biomedical Engineering"
"HSU2013","CONFERENCE",0,2013,"School of Biomedical Engineering"
"ELZIBAK2013387","ARTICLE",7,2013,"School of Biomedical Engineering"
"ISLAM20131105","CONFERENCE",1,2013,"School of Biomedical Engineering"
"JONES201398","ARTICLE",3,2013,"School of Biomedical Engineering"
"HITCHCOCK2012731","ARTICLE",1,2012,"School of Biomedical Engineering"
"CAPPON2012","CONFERENCE",0,2012,"School of Biomedical Engineering"
"SAYYAR20121","ARTICLE",18,2012,"School of Biomedical Engineering"
"KHOSROWSHAHLI2012901","CONFERENCE",0,2012,"School of Biomedical Engineering"
"JEREMIC2012334","CONFERENCE",0,2012,"School of Biomedical Engineering"
"WU20121500","ARTICLE",3,2012,"School of Biomedical Engineering"
"WEEKS2012423","ARTICLE",11,2012,"School of Biomedical Engineering"
"ALIBEIK20121981","ARTICLE",5,2012,"School of Biomedical Engineering"
"SATO20123173","ARTICLE",10,2012,"School of Biomedical Engineering"
"LI20126855","ARTICLE",16,2012,"School of Biomedical Engineering"
"SASK20122821","ARTICLE",11,2012,"School of Biomedical Engineering"
"LEUNG2012406","ARTICLE",6,2012,"School of Biomedical Engineering"
"WARSI2012335","ARTICLE",6,2012,"School of Biomedical Engineering"
"ALLISONYEH2012817","ARTICLE",11,2012,"School of Biomedical Engineering"
"ZAKNOON20124827","ARTICLE",7,2012,"School of Biomedical Engineering"
"MAZUMDER20121877","ARTICLE",27,2012,"School of Biomedical Engineering"
"FITZPATRICK2012339","ARTICLE",20,2012,"School of Biomedical Engineering"
"FITZPATRICK20122517","ARTICLE",15,2012,"School of Biomedical Engineering"
"CERMAK201242","ARTICLE",24,2012,"School of Biomedical Engineering"
"THAKUR2012","ARTICLE",14,2012,"School of Biomedical Engineering"
"HAACKE2012100","ARTICLE",13,2012,"School of Biomedical Engineering"
"ALIBEIK2012856","ARTICLE",7,2012,"School of Biomedical Engineering"
"WEEKS20121021","ARTICLE",7,2012,"School of Biomedical Engineering"
"WU2012960","ARTICLE",15,2012,"School of Biomedical Engineering"
"THAKUR2012447","ARTICLE",1,2012,"School of Biomedical Engineering"
"SASK20122099","ARTICLE",18,2012,"School of Biomedical Engineering"
"TSIKOURAS2012250","ARTICLE",1,2012,"School of Biomedical Engineering"
"REZAI20121609","CONFERENCE",0,2012,"School of Biomedical Engineering"
"YAU20124092","ARTICLE",27,2012,"School of Biomedical Engineering"
"WEEKS20121972","ARTICLE",15,2012,"School of Biomedical Engineering"
"ABDELFATTAH20162133","ARTICLE",0,2016,"School of Biomedical Engineering"
"CHANG2016","ARTICLE",3,2016,"School of Biomedical Engineering"
"JAMARD2016648","ARTICLE",1,2016,"School of Biomedical Engineering"
"CAPPON2016","ARTICLE",0,2016,"School of Biomedical Engineering"
"CHEHREHCHELGANI2016416","ARTICLE",3,2016,"School of Biomedical Engineering"
"AKBARI20161530","ARTICLE",0,2016,"School of Biomedical Engineering"
"ZHANG20163648","ARTICLE",2,2016,"School of Biomedical Engineering"
"AYYASH2016","ARTICLE",0,2016,"School of Biomedical Engineering"
"GAGARINOVA2016904","ARTICLE",1,2016,"School of Biomedical Engineering"
"TAO20162558","ARTICLE",0,2016,"School of Biomedical Engineering"
"GABARDO20168829","ARTICLE",5,2016,"School of Biomedical Engineering"
"WU2016478","ARTICLE",2,2016,"School of Biomedical Engineering"
"CHENG2016","ARTICLE",0,2016,"School of Biomedical Engineering"
"DAVIS2016832","ARTICLE",0,2016,"School of Biomedical Engineering"
"LEE2016149","ARTICLE",1,2016,"School of Biomedical Engineering"
"GABARDO20163511","ARTICLE",3,2016,"School of Biomedical Engineering"
"GABARDO20166","ARTICLE",1,2016,"School of Biomedical Engineering"
"LORD2016103","ARTICLE",3,2016,"School of Biomedical Engineering"
"JOSHI2016160","ARTICLE",1,2016,"School of Biomedical Engineering"
"CORNWELL2016","ARTICLE",0,2016,"School of Biomedical Engineering"
"CHAU20163406","ARTICLE",20,2016,"School of Biomedical Engineering"
"VANTUYL2016381","ARTICLE",0,2016,"School of Biomedical Engineering"
"NIE2016","ARTICLE",3,2016,"School of Biomedical Engineering"
"RENTAS2016508","ARTICLE",17,2016,"School of Biomedical Engineering"
