"UT","DT","TC","PY","Department"
"ROY2016","ARTICLE",0,2016,"Institute of Biomedical Engineering"
"BLAISE2016345","ARTICLE",0,2016,"Institute of Biomedical Engineering"
"TALEB20162561","ARTICLE",5,2016,"Institute of Biomedical Engineering"
"LI2016","CONFERENCE",0,2016,"Institute of Biomedical Engineering"
"ROY-CARDINAL2016","CONFERENCE",1,2016,"Institute of Biomedical Engineering"
"FELFOUL2016941","ARTICLE",39,2016,"Institute of Biomedical Engineering"
"TOPFER20161604","ARTICLE",0,2016,"Institute of Biomedical Engineering"
"DEMONCHY2016","CONFERENCE",1,2016,"Institute of Biomedical Engineering"
"AUGER20163826","ARTICLE",1,2016,"Institute of Biomedical Engineering"
"TALEB2016561","ARTICLE",7,2016,"Institute of Biomedical Engineering"
"TABATABAEI2016657","ARTICLE",0,2016,"Institute of Biomedical Engineering"
"HE2016","CONFERENCE",0,2016,"Institute of Biomedical Engineering"
"AGHIGHI2016","CONFERENCE",1,2016,"Institute of Biomedical Engineering"
"HAIDAR2016476","ARTICLE",3,2016,"Institute of Biomedical Engineering"
"SALLOUM2016410","ARTICLE",1,2016,"Institute of Biomedical Engineering"
"AUGER2016","CONFERENCE",0,2016,"Institute of Biomedical Engineering"
"AUGER20163","CONFERENCE",0,2016,"Institute of Biomedical Engineering"
"OUARED20161603","ARTICLE",1,2016,"Institute of Biomedical Engineering"
"GADHOUMI2016270","ARTICLE",16,2016,"Institute of Biomedical Engineering"
"DESTREMPES2016488","ARTICLE",1,2016,"Institute of Biomedical Engineering"
"ASTOLFI2016312","ARTICLE",11,2016,"Institute of Biomedical Engineering"
"CRADDOCK2016","ARTICLE",3,2016,"Institute of Biomedical Engineering"
"AGUILAR20152203","ARTICLE",15,2015,"Institute of Biomedical Engineering"
"CADOTTE2015","ARTICLE",1,2015,"Institute of Biomedical Engineering"
"OUARED20158161","ARTICLE",3,2015,"Institute of Biomedical Engineering"
"XIONG2015243","ARTICLE",3,2015,"Institute of Biomedical Engineering"
"OUARED20151453","ARTICLE",5,2015,"Institute of Biomedical Engineering"
"TABATABAEI20152129","ARTICLE",0,2015,"Institute of Biomedical Engineering"
"BOUDREAU-BLAND2015","ARTICLE",4,2015,"Institute of Biomedical Engineering"
"TABATABAEI201549","ARTICLE",28,2015,"Institute of Biomedical Engineering"
