"UT","DT","TC","PY","Department"
"CHENG20133066","ARTICLE",3,2013,"Chemical and Biological Engineering"
"LECLERC20138097","ARTICLE",19,2013,"Chemical and Biological Engineering"
"GOUBKO2013787","ARTICLE",6,2013,"Chemical and Biological Engineering"
"BLAND20152908","ARTICLE",12,2015,"Chemical and Biological Engineering"
"TREMBLAY2015127","ARTICLE",0,2015,"Chemical and Biological Engineering"
"PALII2014644","ARTICLE",15,2014,"Chemical and Biological Engineering"
"GOUBKO2014381","ARTICLE",7,2014,"Chemical and Biological Engineering"
"TREMBLAY2014657","ARTICLE",12,2014,"Chemical and Biological Engineering"
"HAJEBIFARD2013","CONFERENCE",0,2013,"Chemical and Biological Engineering"
"KRUPIN2013","CONFERENCE",0,2013,"Chemical and Biological Engineering"
"PITTS2013","ARTICLE",2,2013,"Chemical and Biological Engineering"
"ABDEHAGH20131263","ARTICLE",17,2013,"Chemical and Biological Engineering"
"TAWALBEH20131407","ARTICLE",7,2013,"Chemical and Biological Engineering"
"MONDAL2013","ARTICLE",18,2013,"Chemical and Biological Engineering"
"MISDAN20139","ARTICLE",32,2013,"Chemical and Biological Engineering"
"YUAN20131","ARTICLE",15,2013,"Chemical and Biological Engineering"
"CHEN2013425","ARTICLE",4,2013,"Chemical and Biological Engineering"
"SHIRAZI20131","ARTICLE",35,2013,"Chemical and Biological Engineering"
"KHANLARI2013573","ARTICLE",14,2013,"Chemical and Biological Engineering"
"JAMSHIDIGOHARI2013326","ARTICLE",33,2013,"Chemical and Biological Engineering"
"JAAFAR20131671","ARTICLE",5,2013,"Chemical and Biological Engineering"
"BHOWMIK2013117","ARTICLE",24,2013,"Chemical and Biological Engineering"
"NIU20131147","ARTICLE",1,2013,"Chemical and Biological Engineering"
"JAMSHIDIGOHARI201359","ARTICLE",28,2013,"Chemical and Biological Engineering"
"LUI201312255","ARTICLE",83,2013,"Chemical and Biological Engineering"
"VERNOUX20138192","ARTICLE",63,2013,"Chemical and Biological Engineering"
"MCEVOY201325","ARTICLE",12,2013,"Chemical and Biological Engineering"
"CUI2013820","ARTICLE",31,2013,"Chemical and Biological Engineering"
"PITTS20131363","ARTICLE",1,2013,"Chemical and Biological Engineering"
"TREVIO2013484","ARTICLE",1,2013,"Chemical and Biological Engineering"
"DOLE2013996","ARTICLE",18,2013,"Chemical and Biological Engineering"
"OMELON2013382","ARTICLE",18,2013,"Chemical and Biological Engineering"
"BHOWMICK20133551","ARTICLE",9,2013,"Chemical and Biological Engineering"
"WANG2013976","ARTICLE",1,2013,"Chemical and Biological Engineering"
"KHAN2013","ARTICLE",20,2013,"Chemical and Biological Engineering"
"RIDHA2013357","ARTICLE",16,2013,"Chemical and Biological Engineering"
"RIDHA2013284","ARTICLE",19,2013,"Chemical and Biological Engineering"
"PENG2013982","ARTICLE",14,2013,"Chemical and Biological Engineering"
"FETTAKA2013697","CONFERENCE",2,2013,"Chemical and Biological Engineering"
"RIDHA201321","ARTICLE",31,2013,"Chemical and Biological Engineering"
