"UT","DT","TC","PY","Department"
"HAXHO2014191","ARTICLE",7,2014,"Chemical Engineering"
"NERKAR20141419","ARTICLE",6,2014,"Chemical Engineering"
"MARCOS20141496","ARTICLE",3,2014,"Chemical Engineering"
"CHEN20141593","ARTICLE",21,2014,"Chemical Engineering"
"MOSHKSAR2014551","CONFERENCE",1,2014,"Chemical Engineering"
"HARDJO2014","ARTICLE",0,2014,"Chemical Engineering"
"HARDJO2014","ARTICLE",5,2014,"Chemical Engineering"
"MA20149817","ARTICLE",7,2014,"Chemical Engineering"
"GUAY20131425","ARTICLE",9,2013,"Chemical Engineering"
"AL-OTHMAN2013158","ARTICLE",5,2013,"Chemical Engineering"
"SUNDARAMOORTHY201213703","ARTICLE",7,2012,"Chemical Engineering"
"PINAUD20121103","ARTICLE",59,2012,"Chemical Engineering"
"SHANMUGAM20128957","ARTICLE",4,2012,"Chemical Engineering"
"AL-OTHMAN201214","ARTICLE",7,2012,"Chemical Engineering"
"NIKITIN20169320","ARTICLE",1,2016,"Chemical Engineering"
"ROONEY20161248","ARTICLE",4,2016,"Chemical Engineering"
"CHAMPAGNE2016III","ARTICLE",0,2016,"Chemical Engineering"
"PREUSSER2016490","ARTICLE",3,2016,"Chemical Engineering"
"LIU201615970","ARTICLE",3,2016,"Chemical Engineering"
"BEAUREGARD2016281","ARTICLE",0,2016,"Chemical Engineering"
"MA20167741","ARTICLE",2,2016,"Chemical Engineering"
"TIWARY2016433","ARTICLE",1,2016,"Chemical Engineering"
"LACK20163244","ARTICLE",8,2016,"Chemical Engineering"
"ZHAO2016134","ARTICLE",4,2016,"Chemical Engineering"
"HOY2016242","ARTICLE",0,2016,"Chemical Engineering"
"AQEEL2016447","ARTICLE",2,2016,"Chemical Engineering"
"WANG20153105","ARTICLE",7,2015,"Chemical Engineering"
"SAINI2015693","ARTICLE",3,2015,"Chemical Engineering"
"SAINI2015709","ARTICLE",0,2015,"Chemical Engineering"
"GIACOMIN2015679","ARTICLE",7,2015,"Chemical Engineering"
"HRYNYK20154573","ARTICLE",4,2015,"Chemical Engineering"
"MA20159417","ARTICLE",2,2015,"Chemical Engineering"
"YUE2015313","ARTICLE",3,2015,"Chemical Engineering"
"BULTZ2015628","ARTICLE",4,2015,"Chemical Engineering"
"MA2015259","ARTICLE",9,2015,"Chemical Engineering"
"DARABI20151952","ARTICLE",12,2015,"Chemical Engineering"
"VO2015637","ARTICLE",2,2015,"Chemical Engineering"
"GILBERT2015141","ARTICLE",5,2015,"Chemical Engineering"
"MOSHKSAR20156960","CONFERENCE",0,2015,"Chemical Engineering"
"DEALMEIDA20151280","ARTICLE",5,2015,"Chemical Engineering"
"DARABI201572","ARTICLE",17,2015,"Chemical Engineering"
"TOMKINS20151047","ARTICLE",3,2015,"Chemical Engineering"
"GUAY201538","ARTICLE",4,2015,"Chemical Engineering"
"SOUSA2015584","ARTICLE",0,2015,"Chemical Engineering"
"NISHIYAMA2014918","ARTICLE",0,2014,"Civil Engineering"
"JAVANKHOSHDEL20141033","ARTICLE",15,2014,"Civil Engineering"
"INDRARATNA2014429","ARTICLE",13,2014,"Civil Engineering"
"SCHWALB201495","ARTICLE",2,2014,"Civil Engineering"
"NAZARI-GIGLOU2013","ARTICLE",0,2013,"Civil Engineering"
"SIEMENS20131475","ARTICLE",4,2013,"Civil Engineering"
"AGUILERA201271","ARTICLE",10,2012,"Civil Engineering"
"XIE20162823","ARTICLE",0,2016,"Civil Engineering"
"WHEELER2016383","ARTICLE",2,2016,"Civil Engineering"
"MICHAUD20164425","ARTICLE",1,2016,"Civil Engineering"
"LOUGHEED2016287","ARTICLE",2,2016,"Civil Engineering"
"ROUF201686","ARTICLE",6,2016,"Civil Engineering"
"BEDDOE2016251","ARTICLE",0,2016,"Civil Engineering"
"SAIYAR2016275","ARTICLE",9,2016,"Civil Engineering"
"MUMFORD20161017","ARTICLE",0,2016,"Civil Engineering"
"DASILVA20161364","CONFERENCE",0,2016,"Civil Engineering"
"GROVER20161092","CONFERENCE",0,2016,"Civil Engineering"
"BUI2016154","CONFERENCE",0,2016,"Civil Engineering"
"JAVANKHOSHDEL2016839","ARTICLE",4,2016,"Civil Engineering"
"ROUF20161000","ARTICLE",3,2016,"Civil Engineering"
"ALI20161510","ARTICLE",2,2016,"Civil Engineering"
"STANIER2016727","ARTICLE",20,2016,"Civil Engineering"
"WANG20153105","ARTICLE",7,2015,"Civil Engineering"
"MAK2015201","ARTICLE",0,2015,"Civil Engineering"
"KANANI20151293","ARTICLE",1,2015,"Civil Engineering"
"BRYANT2015638","ARTICLE",10,2015,"Civil Engineering"
"GARCA2015609","ARTICLE",8,2015,"Civil Engineering"
"WANG2015626","ARTICLE",6,2015,"Civil Engineering"
"TAKE2015469","ARTICLE",4,2015,"Civil Engineering"
"TAKE20151199","ARTICLE",22,2015,"Civil Engineering"
"REGIER2015118","ARTICLE",8,2015,"Civil Engineering"
"MURRAY2015141","ARTICLE",10,2015,"Civil Engineering"
"DASILVA2015373","ARTICLE",1,2015,"Civil Engineering"
"DEROSA20151109","ARTICLE",4,2015,"Civil Engineering"
"JAVANKHOSHDEL2015252","ARTICLE",0,2015,"Civil Engineering"
"BRYANT2015188","ARTICLE",7,2015,"Civil Engineering"
"CHOUINARD2015367","ARTICLE",1,2015,"Civil Engineering"
"GHOBADZADEH20143523","ARTICLE",12,2014,"Electrical and Computer Engineering"
"WHITEHALL2014145","CONFERENCE",2,2014,"Electrical and Computer Engineering"
"SADJADI2014921","ARTICLE",3,2014,"Electrical and Computer Engineering"
"BEHESHTI2014","CONFERENCE",1,2014,"Electrical and Computer Engineering"
"SINGH2014","CONFERENCE",2,2014,"Electrical and Computer Engineering"
"HENAULT20142026","CONFERENCE",1,2014,"Electrical and Computer Engineering"
"LAWAL201416","ARTICLE",0,2014,"Electrical and Computer Engineering"
"HAFEZ2014364","CONFERENCE",2,2014,"Electrical and Computer Engineering"
"HAFEZ20141241","CONFERENCE",3,2014,"Electrical and Computer Engineering"
"HAFEZ20143078","CONFERENCE",0,2014,"Electrical and Computer Engineering"
"TABA2014370","ARTICLE",1,2014,"Electrical and Computer Engineering"
"WANG201421","ARTICLE",0,2014,"Electrical and Computer Engineering"
"PODILCHAK20142978","ARTICLE",10,2014,"Electrical and Computer Engineering"
"PODILCHAK2014770","CONFERENCE",1,2014,"Electrical and Computer Engineering"
"PODILCHAK20141286","CONFERENCE",1,2014,"Electrical and Computer Engineering"
"JEON20141790","ARTICLE",24,2014,"Electrical and Computer Engineering"
"ACKERT2014","CONFERENCE",0,2014,"Electrical and Computer Engineering"
"JOHNSTONE20141938","CONFERENCE",3,2014,"Electrical and Computer Engineering"
"ACKERT201410710","ARTICLE",5,2014,"Electrical and Computer Engineering"
"PODILCHAK2014581","CONFERENCE",1,2014,"Electrical and Computer Engineering"
"PODILCHAK20143162","CONFERENCE",0,2014,"Electrical and Computer Engineering"
"HAFEZ20143868","CONFERENCE",5,2014,"Electrical and Computer Engineering"
"FERNANDO20131","CONFERENCE",1,2013,"Electrical and Computer Engineering"
"SUTHERLAND20133009","ARTICLE",14,2013,"Electrical and Computer Engineering"
"HAFEZ20133147","CONFERENCE",11,2013,"Electrical and Computer Engineering"
"HUGHES2013196","CONFERENCE",1,2013,"Electrical and Computer Engineering"
"ISKANDARANI2013620","CONFERENCE",9,2013,"Electrical and Computer Engineering"
"ACKERT201319530","ARTICLE",19,2013,"Electrical and Computer Engineering"
"YAZDIAN2013","ARTICLE",2,2013,"Electrical and Computer Engineering"
"KARIMI-GHARTEMANI20133158","ARTICLE",29,2013,"Electrical and Computer Engineering"
"AL-TURJMAN2013368","ARTICLE",31,2013,"Electrical and Computer Engineering"
"MEYER2013357","ARTICLE",9,2013,"Electrical and Computer Engineering"
