"UT","DT","TC","PY","Department"
"BAROI201418611","ARTICLE",7,2014,"Chemical and Biological Engineering"
"SOMIDI201418668","ARTICLE",9,2014,"Chemical and Biological Engineering"
"NAGALAKSHMI20142142","ARTICLE",6,2014,"Chemical and Biological Engineering"
"SHARMA20143","ARTICLE",10,2014,"Chemical and Biological Engineering"
"WANG201471","ARTICLE",6,2014,"Chemical and Biological Engineering"
"KUMAR20141512","ARTICLE",3,2014,"Chemical and Biological Engineering"
"LU201449","ARTICLE",13,2014,"Chemical and Biological Engineering"
"ROSHANI2014158","ARTICLE",18,2014,"Chemical and Biological Engineering"
"BAROI201499","ARTICLE",6,2014,"Chemical and Biological Engineering"
"RAMESHKUMAR201474","ARTICLE",2,2014,"Chemical and Biological Engineering"
"DALAI20141","ARTICLE",1,2014,"Chemical and Biological Engineering"
"NANDA2014138","ARTICLE",17,2014,"Chemical and Biological Engineering"
"ZHANG201410125","ARTICLE",4,2014,"Chemical and Biological Engineering"
"LIU2014","ARTICLE",6,2014,"Chemical and Biological Engineering"
"AZARGOHAR201490","ARTICLE",70,2014,"Chemical and Biological Engineering"
"SATPATHY2014269","ARTICLE",24,2014,"Chemical and Biological Engineering"
"SHARMA2014147","ARTICLE",33,2014,"Chemical and Biological Engineering"
"YADAV201418","ARTICLE",5,2014,"Chemical and Biological Engineering"
"REDDY20146912","ARTICLE",69,2014,"Chemical and Biological Engineering"
"DONKURU2014757","ARTICLE",6,2014,"Chemical and Biological Engineering"
"GUNAWAN201411","ARTICLE",10,2014,"Chemical and Biological Engineering"
"DAALKHAIJAV2014523","ARTICLE",5,2014,"Chemical and Biological Engineering"
"ISSARIYAKUL2014446","ARTICLE",111,2014,"Chemical and Biological Engineering"
"NANDA2014174","ARTICLE",21,2014,"Chemical and Biological Engineering"
"KHONGSAY2014302","ARTICLE",7,2014,"Chemical and Biological Engineering"
"DING2014416","ARTICLE",21,2014,"Chemical and Biological Engineering"
"BADOGA20142137","ARTICLE",16,2014,"Chemical and Biological Engineering"
"KUMAR20141","ARTICLE",6,2014,"Chemical and Biological Engineering"
"NIKAKHTARI2014193","ARTICLE",1,2014,"Chemical and Biological Engineering"
"SHARMA2014344","ARTICLE",3,2014,"Chemical and Biological Engineering"
"SOLEIMANI2014166","ARTICLE",3,2014,"Chemical and Biological Engineering"
"FOX2014113","ARTICLE",10,2014,"Chemical and Biological Engineering"
"GAO2014109","CONFERENCE",0,2014,"Chemical and Biological Engineering"
"BAROI201418","ARTICLE",12,2014,"Chemical and Biological Engineering"
"IROBA20141946","CONFERENCE",0,2014,"Chemical and Biological Engineering"
"PODDER2014","ARTICLE",1,2014,"Chemical and Biological Engineering"
"GEORGE201454","ARTICLE",2,2014,"Chemical and Biological Engineering"
"SOLEIMANI20144757","CONFERENCE",0,2014,"Chemical and Biological Engineering"
"IROBA201468","ARTICLE",6,2014,"Chemical and Biological Engineering"
"SHRESTHA201496","ARTICLE",0,2014,"Chemical and Biological Engineering"
"NAIK2014935","ARTICLE",4,2014,"Chemical and Biological Engineering"
"CHOUGLE2014811","ARTICLE",6,2014,"Chemical and Biological Engineering"
"NAIK2014837","ARTICLE",3,2014,"Chemical and Biological Engineering"
"REDDY2014728","ARTICLE",5,2014,"Chemical and Biological Engineering"
"NANDA201415","ARTICLE",2,2014,"Chemical and Biological Engineering"
"JAIN20141627","ARTICLE",1,2014,"Chemical and Biological Engineering"
"LU201467","ARTICLE",5,2014,"Chemical and Biological Engineering"
"MOSQUEDA20143.1","ARTICLE",1,2014,"Chemical and Biological Engineering"
"MOSQUEDA20143749","CONFERENCE",0,2014,"Chemical and Biological Engineering"
"TILAY20141131","ARTICLE",4,2014,"Chemical and Biological Engineering"
"MISRA2014115","CONFERENCE",0,2014,"Chemical and Biological Engineering"
"LU2014563","CONFERENCE",0,2014,"Chemical and Biological Engineering"
"JAIN20144953","ARTICLE",9,2014,"Chemical and Biological Engineering"
"NANDA2014157","ARTICLE",52,2014,"Chemical and Biological Engineering"
"MISRA2014486","CONFERENCE",0,2014,"Chemical and Biological Engineering"
"HIREGOUDAR2014922","ARTICLE",0,2014,"Chemical and Biological Engineering"
"DING201433","ARTICLE",21,2014,"Chemical and Biological Engineering"
"PODDER2014308","ARTICLE",0,2014,"Chemical and Biological Engineering"
"LU2014287","ARTICLE",26,2014,"Chemical and Biological Engineering"
"RAMBABU2014161","ARTICLE",3,2014,"Chemical and Biological Engineering"
"D'SOUZA2014835","ARTICLE",5,2014,"Chemical and Biological Engineering"
"ZIGA-BENTEZ2014152","ARTICLE",3,2014,"Chemical and Biological Engineering"
"GARMAKHANY20141607","ARTICLE",11,2014,"Chemical and Biological Engineering"
"GEORGE20143.17","ARTICLE",2,2014,"Chemical and Biological Engineering"
"KASHANINEJAD20141","ARTICLE",6,2014,"Chemical and Biological Engineering"
"EMAMI201492","ARTICLE",4,2014,"Chemical and Biological Engineering"
"PRINCE20142039","ARTICLE",1,2014,"Chemical and Biological Engineering"
"TUMULURU201458","ARTICLE",23,2014,"Chemical and Biological Engineering"
"NIU2014116","ARTICLE",2,2014,"Chemical and Biological Engineering"
"TILAY2014507","ARTICLE",3,2014,"Chemical and Biological Engineering"
"ZHAO20141283","ARTICLE",12,2014,"Chemical and Biological Engineering"
"IROBA2014286","ARTICLE",18,2014,"Chemical and Biological Engineering"
"JOHNSTONE2013","ARTICLE",2,2013,"Chemical and Biological Engineering"
"IROBA201361","BOOK",2,2013,"Chemical and Biological Engineering"
"NANDA20131","BOOK",1,2013,"Chemical and Biological Engineering"
"IROBA2013385","ARTICLE",14,2013,"Chemical and Biological Engineering"
"GOUMON2013461","ARTICLE",2,2013,"Chemical and Biological Engineering"
"GOUMON20135859","ARTICLE",1,2013,"Chemical and Biological Engineering"
"AZARGOHAR2013330","ARTICLE",25,2013,"Chemical and Biological Engineering"
"MOHANTY2013485","ARTICLE",37,2013,"Chemical and Biological Engineering"
"LIU2013478","ARTICLE",3,2013,"Chemical and Biological Engineering"
"MAHERIA20131220","ARTICLE",23,2013,"Chemical and Biological Engineering"
"WANG2013585","ARTICLE",19,2013,"Chemical and Biological Engineering"
"RANJBAR201314429","ARTICLE",5,2013,"Chemical and Biological Engineering"
"SRIPADA201395","ARTICLE",20,2013,"Chemical and Biological Engineering"
"SHARMA2013604","ARTICLE",18,2013,"Chemical and Biological Engineering"
"DHABHAI20131651","ARTICLE",4,2013,"Chemical and Biological Engineering"
"GOUMON20134925","ARTICLE",10,2013,"Chemical and Biological Engineering"
"AZARGOHAR20135268","ARTICLE",9,2013,"Chemical and Biological Engineering"
"DHABHAI20131251","ARTICLE",3,2013,"Chemical and Biological Engineering"
"PATERSON2013157","ARTICLE",14,2013,"Chemical and Biological Engineering"
"SOLEIMANI2013208","ARTICLE",1,2013,"Chemical and Biological Engineering"
"BIBWE2013763","ARTICLE",1,2013,"Chemical and Biological Engineering"
"GOUMON20133889","ARTICLE",6,2013,"Chemical and Biological Engineering"
"WANG2013455","BOOK",1,2013,"Chemical and Biological Engineering"
"HOFFMAN2013629","ARTICLE",1,2013,"Chemical and Biological Engineering"
"MAJHI2013543","ARTICLE",30,2013,"Chemical and Biological Engineering"
"DHABHAI20131223","ARTICLE",3,2013,"Chemical and Biological Engineering"
"ADAPA2013","ARTICLE",12,2013,"Chemical and Biological Engineering"
"MOSQUEDA2013","ARTICLE",6,2013,"Chemical and Biological Engineering"
"BHANDARI2013104","ARTICLE",3,2013,"Chemical and Biological Engineering"
"REZAEI2013239","ARTICLE",23,2013,"Chemical and Biological Engineering"
"SANCHEZ20131175","ARTICLE",6,2013,"Chemical and Biological Engineering"
"BOJARI2013355","ARTICLE",4,2013,"Chemical and Biological Engineering"
"ALOTAIBI20131024","ARTICLE",2,2013,"Chemical and Biological Engineering"
"NANDA2013663","ARTICLE",57,2013,"Chemical and Biological Engineering"
"SHARMA201393","ARTICLE",8,2013,"Chemical and Biological Engineering"
"DALAI20131","ARTICLE",0,2013,"Chemical and Biological Engineering"
"WANG20133","ARTICLE",12,2013,"Chemical and Biological Engineering"
"DAALKHAIJAV20132907","ARTICLE",1,2013,"Chemical and Biological Engineering"
"SHRESTHA2013517","ARTICLE",5,2013,"Chemical and Biological Engineering"
"MOSQUEDA2013811","ARTICLE",12,2013,"Chemical and Biological Engineering"
"BOLIN2013141","ARTICLE",7,2013,"Chemical and Biological Engineering"
"SHARMA2013127","ARTICLE",49,2013,"Chemical and Biological Engineering"
"KEYKAVOOS2013310","ARTICLE",17,2013,"Chemical and Biological Engineering"
"SHRESTHA2013195","ARTICLE",25,2013,"Chemical and Biological Engineering"
"RIZWAN2013483","ARTICLE",9,2013,"Chemical and Biological Engineering"
"RAMBABU2013501","ARTICLE",32,2013,"Chemical and Biological Engineering"
"TRIPPE2013577","ARTICLE",50,2013,"Chemical and Biological Engineering"
"JAIN2013","ARTICLE",20,2013,"Chemical and Biological Engineering"
"EPP20133029","CONFERENCE",0,2013,"Chemical and Biological Engineering"
"MANDAL201320","ARTICLE",0,2013,"Chemical and Biological Engineering"
"SOLEIMANI20134472","CONFERENCE",0,2013,"Chemical and Biological Engineering"
"REZAEI201370","ARTICLE",16,2013,"Chemical and Biological Engineering"
"MOSQUEDA2013643","CONFERENCE",0,2013,"Chemical and Biological Engineering"
"AHMED20131039","CONFERENCE",0,2013,"Chemical and Biological Engineering"
