"UT","DT","TC","PY","Department"
"LAUSIC2012732","CONFERENCE",0,2012,"Aerospace Studies"
"CLARK2012","CONFERENCE",0,2012,"Aerospace Studies"
"KENNEDY2012","CONFERENCE",29,2012,"Aerospace Studies"
"THANGAVELAUTHAM2012552","ARTICLE",5,2012,"Aerospace Studies"
"MADER2012","CONFERENCE",7,2012,"Aerospace Studies"
"MADER20122809","ARTICLE",38,2012,"Aerospace Studies"
"KENNEDY2012","CONFERENCE",4,2012,"Aerospace Studies"
"KENWAY2012","CONFERENCE",11,2012,"Aerospace Studies"
"LIEM2012","CONFERENCE",19,2012,"Aerospace Studies"
"GROUCHY201259","CONFERENCE",1,2012,"Aerospace Studies"
"TOUTIAEI2012","CONFERENCE",0,2012,"Aerospace Studies"
"MADER20122022","CONFERENCE",1,2012,"Aerospace Studies"
"LEE2012647","ARTICLE",35,2012,"Aerospace Studies"
"HAGHIGHAT20121751","ARTICLE",32,2012,"Aerospace Studies"
"QIAN20121305","CONFERENCE",1,2012,"Aerospace Studies"
"JAMES201220","ARTICLE",16,2012,"Aerospace Studies"
"LEE2012909","ARTICLE",6,2012,"Aerospace Studies"
"LEE2012","ARTICLE",0,2012,"Aerospace Studies"
"LEE201240","ARTICLE",26,2012,"Aerospace Studies"
"LAMBE2012273","ARTICLE",71,2012,"Aerospace Studies"
"STEINBERG20122576","ARTICLE",17,2012,"Aerospace Studies"
"BIZYUKOV2012401","ARTICLE",5,2012,"Aerospace Studies"
"BRYAN20121952","ARTICLE",15,2012,"Aerospace Studies"
"LEE2012","ARTICLE",11,2012,"Aerospace Studies"
"BELSON2012","CONFERENCE",6,2012,"Aerospace Studies"
"HANSON2012","CONFERENCE",5,2012,"Aerospace Studies"
"ENRIGHT2012","CONFERENCE",7,2012,"Aerospace Studies"
"LAMBERT2012426","ARTICLE",21,2012,"Aerospace Studies"
"FURGALE2012707","ARTICLE",13,2012,"Aerospace Studies"
"HAGHIGHAT2012432","ARTICLE",35,2012,"Aerospace Studies"
"KELLY2012109","ARTICLE",2,2012,"Aerospace Studies"
"ZHAO2012575","ARTICLE",19,2012,"Aerospace Studies"
"JAMES201297","ARTICLE",17,2012,"Aerospace Studies"
"KENNEDY201254","ARTICLE",9,2012,"Aerospace Studies"
"HENDERSON20121","ARTICLE",39,2012,"Aerospace Studies"
"LIU20132371","ARTICLE",2,2013,"Aerospace Studies"
"XU20132519","ARTICLE",30,2013,"Aerospace Studies"
"PETRIE2013","ARTICLE",4,2013,"Aerospace Studies"
"ZHAO20132281","ARTICLE",14,2013,"Aerospace Studies"
"HEPPLER2013754","ARTICLE",0,2013,"Aerospace Studies"
"STELLINI2013","CONFERENCE",0,2013,"Aerospace Studies"
"LIEM2013","CONFERENCE",11,2013,"Aerospace Studies"
"LYU2013","CONFERENCE",43,2013,"Aerospace Studies"
"BERCZI201329","CONFERENCE",0,2013,"Aerospace Studies"
"PENG2013130","ARTICLE",10,2013,"Aerospace Studies"
"MADER20131431","ARTICLE",36,2013,"Aerospace Studies"
"FINDLAY20131522","ARTICLE",7,2013,"Aerospace Studies"
"STOLBUNOV20131310","ARTICLE",5,2013,"Aerospace Studies"
"GROEBNER2013","ARTICLE",13,2013,"Aerospace Studies"
"FORBES20131808","ARTICLE",6,2013,"Aerospace Studies"
"HOUSER2013101","ARTICLE",13,2013,"Aerospace Studies"
"MCMANUS2013836","ARTICLE",13,2013,"Aerospace Studies"
"GALLOWAY20131900","ARTICLE",13,2013,"Aerospace Studies"
"FORBES2013785","ARTICLE",0,2013,"Aerospace Studies"
