"UT","DT","TC","PY","Department"
"BEESLEY2012170","BOOK",0,2012,"School of Architecture"
"SCHUMACHER2013","CONFERENCE",0,2013,"School of Architecture"
"UENO2013","CONFERENCE",0,2013,"School of Architecture"
"READ2015273","CONFERENCE",0,2015,"School of Architecture"
"PAGAN-VAZQUEZ2016300","CONFERENCE",2,2016,"School of Architecture"
"ROBLET2012237","ARTICLE",19,2012,"Centre for Bioengineering and Biotechnology"
"ABBASZADEH2013","ARTICLE",10,2013,"Centre for Bioengineering and Biotechnology"
"ABBASZADEH2013271","CONFERENCE",0,2013,"Centre for Bioengineering and Biotechnology"
"SHAFIQUE2014","CONFERENCE",1,2014,"Centre for Bioengineering and Biotechnology"
"PEQUEGNAT2015367","ARTICLE",11,2015,"Centre for Bioengineering and Biotechnology"
"LIU20162872","CONFERENCE",3,2016,"Centre for Bioengineering and Biotechnology"
"KHALVATI2016254","ARTICLE",2,2016,"Centre for Bioengineering and Biotechnology"
"LOPEZMAURINO2016","CONFERENCE",0,2016,"Centre for Bioengineering and Biotechnology"
"PRUETTIPHAP2012175","CONFERENCE",0,2012,"Chemical Engineering"
"WONGTHONG2012183","CONFERENCE",1,2012,"Chemical Engineering"
"HOU20129","ARTICLE",12,2012,"Chemical Engineering"
"WU20123221","ARTICLE",22,2012,"Chemical Engineering"
"LI2012103","ARTICLE",42,2012,"Chemical Engineering"
"TAJVIDI2012287","CONFERENCE",0,2012,"Chemical Engineering"
"CHOI20121815","CONFERENCE",4,2012,"Chemical Engineering"
"CHABOT201219","CONFERENCE",1,2012,"Chemical Engineering"
"WU20121807","CONFERENCE",0,2012,"Chemical Engineering"
"ZARRIN20122083","CONFERENCE",0,2012,"Chemical Engineering"
"HIGGINS20121801","CONFERENCE",1,2012,"Chemical Engineering"
"CHOI2012","ARTICLE",19,2012,"Chemical Engineering"
"LEE20121887","CONFERENCE",1,2012,"Chemical Engineering"
"CHEN2012","CONFERENCE",0,2012,"Chemical Engineering"
"SOKOLENKO20121031","ARTICLE",1,2012,"Chemical Engineering"
"LIU20121622","ARTICLE",10,2012,"Chemical Engineering"
"WANG20121","ARTICLE",0,2012,"Chemical Engineering"
"KUNDU20121502","ARTICLE",4,2012,"Chemical Engineering"
"LI201218843","ARTICLE",8,2012,"Chemical Engineering"
"ALWI20121808","ARTICLE",1,2012,"Chemical Engineering"
"HENNEKE2012183","ARTICLE",0,2012,"Chemical Engineering"
"PENG2012632","ARTICLE",34,2012,"Chemical Engineering"
"BAHADORI2012327","ARTICLE",2,2012,"Chemical Engineering"
"DAVOODY2012213","ARTICLE",4,2012,"Chemical Engineering"
"BAHADORI2012508","ARTICLE",1,2012,"Chemical Engineering"
"AL-HARBI20121527","ARTICLE",17,2012,"Chemical Engineering"
"JAIPRAKASH20121","BOOK",0,2012,"Chemical Engineering"
"ACEVEDO-PEA201221","CONFERENCE",3,2012,"Chemical Engineering"
"CRAWFORD20121457","ARTICLE",4,2012,"Chemical Engineering"
"LESHUK20126062","ARTICLE",45,2012,"Chemical Engineering"
"WANG20124612","ARTICLE",12,2012,"Chemical Engineering"
"WANG20124656","ARTICLE",14,2012,"Chemical Engineering"
"OMIDBAKHSH201214925","ARTICLE",0,2012,"Chemical Engineering"
"JAFARI201213183","ARTICLE",18,2012,"Chemical Engineering"
"HONG201222282","ARTICLE",20,2012,"Chemical Engineering"
"BAIG2012632","ARTICLE",1,2012,"Chemical Engineering"
"BETANCOURT-TORCAT20123433","ARTICLE",10,2012,"Chemical Engineering"
"SUPPAIBULSUK20121473","ARTICLE",8,2012,"Chemical Engineering"
"HU201234","ARTICLE",48,2012,"Chemical Engineering"
"LIANG20129531","ARTICLE",2,2012,"Chemical Engineering"
"JAMES20126200","ARTICLE",9,2012,"Chemical Engineering"
"JAFARI2012477","BOOK",0,2012,"Chemical Engineering"
"YAN2012222","ARTICLE",47,2012,"Chemical Engineering"
"MANDUR2012549","CONFERENCE",6,2012,"Chemical Engineering"
"KUMAR2012280","CONFERENCE",2,2012,"Chemical Engineering"
"AMOLI201220048","ARTICLE",20,2012,"Chemical Engineering"
"KUNDU20121253","ARTICLE",12,2012,"Chemical Engineering"
"ZAMECNIK2012906","ARTICLE",5,2012,"Chemical Engineering"
"PENG20126801","ARTICLE",31,2012,"Chemical Engineering"
"NAZIM20121744","ARTICLE",3,2012,"Chemical Engineering"
"RAMAZANI20121858","ARTICLE",9,2012,"Chemical Engineering"
"VAZQUEZ-ARENAS201228","ARTICLE",16,2012,"Chemical Engineering"
"BAHADORI201268","ARTICLE",1,2012,"Chemical Engineering"
"ZARGAR20121777","ARTICLE",3,2012,"Chemical Engineering"
"PAIROJPIRIYAKUL20121112","ARTICLE",3,2012,"Chemical Engineering"
"VAZQUEZ-ARENAS2012109","ARTICLE",11,2012,"Chemical Engineering"
"SUN201218950","ARTICLE",20,2012,"Chemical Engineering"
"SIRIWONGSARN20121892","ARTICLE",9,2012,"Chemical Engineering"
"ORTIZ-RODRIGUEZ2012442","ARTICLE",3,2012,"Chemical Engineering"
"WANG2012","ARTICLE",19,2012,"Chemical Engineering"
"PEIRIS2012457","ARTICLE",6,2012,"Chemical Engineering"
"ORR201219","ARTICLE",8,2012,"Chemical Engineering"
"XU201262","ARTICLE",34,2012,"Chemical Engineering"
"BETANCOURT-TORCAT2012329","BOOK",1,2012,"Chemical Engineering"
"SHARMA2012432","CONFERENCE",0,2012,"Chemical Engineering"
"TANVIR2012231","ARTICLE",7,2012,"Chemical Engineering"
"LUO2012","ARTICLE",9,2012,"Chemical Engineering"
"CONSOLANTE20123963","ARTICLE",3,2012,"Chemical Engineering"
"SADATMOUSAVI20123241","ARTICLE",17,2012,"Chemical Engineering"
"HARUN2012295","ARTICLE",51,2012,"Chemical Engineering"
"JAHED2012463","ARTICLE",4,2012,"Chemical Engineering"
"LI20121606","ARTICLE",27,2012,"Chemical Engineering"
"MASOOD2012865","ARTICLE",9,2012,"Chemical Engineering"
"MA2012","ARTICLE",3,2012,"Chemical Engineering"
"JIN2012104","ARTICLE",6,2012,"Chemical Engineering"
"SHAHSAVAN20128281","ARTICLE",7,2012,"Chemical Engineering"
"HONG20128413","ARTICLE",53,2012,"Chemical Engineering"
"JIN20122140","ARTICLE",1,2012,"Chemical Engineering"
"SONAR20128383","ARTICLE",56,2012,"Chemical Engineering"
"SAMPIERI2012301","ARTICLE",1,2012,"Chemical Engineering"
"SOARES2012","BOOK",54,2012,"Chemical Engineering"
"AHN201266","ARTICLE",51,2012,"Chemical Engineering"
"RICARDEZ-SANDOVAL201291","ARTICLE",31,2012,"Chemical Engineering"
"JAGANNATH20121331","ARTICLE",5,2012,"Chemical Engineering"
"TAN201281","BOOK",1,2012,"Chemical Engineering"
"CRESS2012","ARTICLE",2,2012,"Chemical Engineering"
"SHAHSAVAN2012743","ARTICLE",19,2012,"Chemical Engineering"
"YANG2012104","ARTICLE",9,2012,"Chemical Engineering"
"LUO2012946","ARTICLE",9,2012,"Chemical Engineering"
"SONG201210259","ARTICLE",17,2012,"Chemical Engineering"
"ABEDI2012930","ARTICLE",23,2012,"Chemical Engineering"
"ZHANG2012","ARTICLE",8,2012,"Chemical Engineering"
"AMOLI2012","ARTICLE",27,2012,"Chemical Engineering"
"AHMADI20129894","ARTICLE",41,2012,"Chemical Engineering"
"LUO2012296","ARTICLE",29,2012,"Chemical Engineering"
"YAO20123446","ARTICLE",17,2012,"Chemical Engineering"
"MOHAMMADZADEH20124346","ARTICLE",13,2012,"Chemical Engineering"
"YAN2012374","ARTICLE",19,2012,"Chemical Engineering"
"ZENDEHBOUDI2012448","ARTICLE",14,2012,"Chemical Engineering"
"PENG201212997","ARTICLE",45,2012,"Chemical Engineering"
"PERVISSIAN2012288","ARTICLE",5,2012,"Chemical Engineering"
"ALSHAIBAN2012265","ARTICLE",11,2012,"Chemical Engineering"
"LIU2012637","ARTICLE",5,2012,"Chemical Engineering"
"AMIN201210690","ARTICLE",25,2012,"Chemical Engineering"
"KONGPARAKUL2012524","ARTICLE",8,2012,"Chemical Engineering"
"ORR201271","ARTICLE",8,2012,"Chemical Engineering"
"YANG20129562","ARTICLE",11,2012,"Chemical Engineering"
"ZENDEHBOUDI20123432","ARTICLE",66,2012,"Chemical Engineering"
"IZADI2012846","ARTICLE",18,2012,"Chemical Engineering"
"ZHANG20121","ARTICLE",78,2012,"Chemical Engineering"
"KONGSINLARK2012215","ARTICLE",28,2012,"Chemical Engineering"
"HOSSEINI2012","ARTICLE",9,2012,"Chemical Engineering"
"CHOI2012646","ARTICLE",30,2012,"Chemical Engineering"
"GEORGE201227","ARTICLE",7,2012,"Chemical Engineering"
