"UT","DT","TC","PY","Department"
"WILLING2014990","ARTICLE",4,2014,"Chemical and Biomedical Engineering"
"LANGOHR2015787","ARTICLE",3,2015,"Chemical and Biomedical Engineering"
"DESAI2014463","ARTICLE",7,2014,"Chemical and Biomedical Engineering"
"GILES20161592","ARTICLE",0,2016,"Chemical and Biomedical Engineering"
"WELSH2016514","ARTICLE",0,2016,"Chemical and Biomedical Engineering"
"DESAI2016297","ARTICLE",2,2016,"Chemical and Biomedical Engineering"
"SHAHEDI2014","ARTICLE",1,2014,"Chemical and Biomedical Engineering"
"SALARIAN20145145","ARTICLE",6,2014,"Chemical and Biomedical Engineering"
"SAMIMI201411333","ARTICLE",5,2014,"Chemical and Biomedical Engineering"
"BHATTACHARYYA20141175","ARTICLE",8,2014,"Chemical and Biomedical Engineering"
"ARMSTRONG201414","CONFERENCE",1,2014,"Chemical and Biomedical Engineering"
"KRAMERS2014204","CONFERENCE",7,2014,"Chemical and Biomedical Engineering"
"SALEM201410815","ARTICLE",58,2014,"Chemical and Biomedical Engineering"
"PIKE201453","ARTICLE",1,2014,"Chemical and Biomedical Engineering"
"AFSHIN2014481","ARTICLE",18,2014,"Chemical and Biomedical Engineering"
"BAILLARGEON2014","ARTICLE",8,2014,"Chemical and Biomedical Engineering"
"SPAIC20141529","ARTICLE",7,2014,"Chemical and Biomedical Engineering"
"MORIN20141039","ARTICLE",7,2014,"Chemical and Biomedical Engineering"
"SAID20143335","ARTICLE",7,2014,"Chemical and Biomedical Engineering"
"KNIGHT20143484","ARTICLE",15,2014,"Chemical and Biomedical Engineering"
"SRINATH2014578","ARTICLE",7,2014,"Chemical and Biomedical Engineering"
"ARMSTRONG201429","ARTICLE",1,2014,"Chemical and Biomedical Engineering"
"SALARIAN201416918","ARTICLE",11,2014,"Chemical and Biomedical Engineering"
"QIU2014660","ARTICLE",17,2014,"Chemical and Biomedical Engineering"
"SISCHEK20142672","ARTICLE",3,2014,"Chemical and Biomedical Engineering"
"CEPEK2014","ARTICLE",1,2014,"Chemical and Biomedical Engineering"
"QIU20141222","CONFERENCE",2,2014,"Chemical and Biomedical Engineering"
"FENSTER20146151","CONFERENCE",1,2014,"Chemical and Biomedical Engineering"
"SUN2014","CONFERENCE",2,2014,"Chemical and Biomedical Engineering"
"DESILVA2014","ARTICLE",2,2014,"Chemical and Biomedical Engineering"
"SALARIAN2014","CONFERENCE",1,2014,"Chemical and Biomedical Engineering"
"MARAMI2014","CONFERENCE",5,2014,"Chemical and Biomedical Engineering"
"OMIDI20143657","ARTICLE",7,2014,"Chemical and Biomedical Engineering"
"NAJIMINAINI20141876","ARTICLE",5,2014,"Chemical and Biomedical Engineering"
"NAJIMINAINI2014","CONFERENCE",1,2014,"Chemical and Biomedical Engineering"
"NESHAT2014","CONFERENCE",0,2014,"Chemical and Biomedical Engineering"
"OWRANGI201464","ARTICLE",4,2014,"Chemical and Biomedical Engineering"
"HRINIVICH2014","CONFERENCE",0,2014,"Chemical and Biomedical Engineering"
"CEPEK2014","CONFERENCE",0,2014,"Chemical and Biomedical Engineering"
"SVENNINGSEN20141402","ARTICLE",7,2014,"Chemical and Biomedical Engineering"
"MARAMI2014","CONFERENCE",3,2014,"Chemical and Biomedical Engineering"
"GIBSON2014","CONFERENCE",1,2014,"Chemical and Biomedical Engineering"
"CEPEK2014","ARTICLE",5,2014,"Chemical and Biomedical Engineering"
"GUO20136644","ARTICLE",13,2013,"Chemical and Biomedical Engineering"
"ERTORER2013338","ARTICLE",4,2013,"Chemical and Biomedical Engineering"
"WU20134238","ARTICLE",1,2013,"Chemical and Biomedical Engineering"
"LANG20133382","ARTICLE",3,2013,"Chemical and Biomedical Engineering"
"SOVE2013","ARTICLE",3,2013,"Chemical and Biomedical Engineering"
"DESILVA2013124","ARTICLE",1,2013,"Chemical and Biomedical Engineering"
"CEPEK2013348","ARTICLE",0,2013,"Chemical and Biomedical Engineering"
"GORELICK20131804","ARTICLE",32,2013,"Chemical and Biomedical Engineering"
"COSTA20137215","ARTICLE",67,2013,"Chemical and Biomedical Engineering"
"JOLLY2013","ARTICLE",5,2013,"Chemical and Biomedical Engineering"
"MEDEIROS2013106","ARTICLE",12,2013,"Chemical and Biomedical Engineering"
"MORIN20131158","ARTICLE",11,2013,"Chemical and Biomedical Engineering"
"YU2013","ARTICLE",20,2013,"Chemical and Biomedical Engineering"
"KARAMDOUST20133383","ARTICLE",6,2013,"Chemical and Biomedical Engineering"
"ALLO20137574","ARTICLE",15,2013,"Chemical and Biomedical Engineering"
"LEUNG20132407","ARTICLE",43,2013,"Chemical and Biomedical Engineering"
"NESHAT2013","CONFERENCE",1,2013,"Chemical and Biomedical Engineering"
"GIBSON2013","CONFERENCE",1,2013,"Chemical and Biomedical Engineering"
